Date : 2024-02-14 14:47:53
Directory : /Users/stmoerman/Developer/Business/Bakklog/cal.com
Total : 4223 files,  291311 codes, 14860 comments, 32376 blanks, all 338547 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
| apps/web/app/future/workflows/[workflow]                                                                                                                                   |          1 |         28 |          2 |          6 |         36 |
| apps/web/components                                                                                                                                                        |         86 |     10,616 |        160 |        918 |     11,694 |
| apps/web/components (Files)                                                                                                                                                |          7 |        388 |         18 |         48 |        454 |
| apps/web/components/apps                                                                                                                                                   |          8 |      1,161 |         11 |         76 |      1,248 |
| apps/web/components/apps (Files)                                                                                                                                           |          6 |      1,101 |         11 |         68 |      1,180 |
| apps/web/components/apps/layouts                                                                                                                                           |          2 |         60 |          0 |          8 |         68 |
| apps/web/components/auth                                                                                                                                                   |          4 |        129 |          3 |         29 |        161 |
| apps/web/components/auth (Files)                                                                                                                                           |          2 |         64 |          1 |         16 |         81 |
| apps/web/components/auth/layouts                                                                                                                                           |          2 |         65 |          2 |         13 |         80 |
| apps/web/components/availability                                                                                                                                           |          1 |         51 |          0 |          7 |         58 |
| apps/web/components/booking                                                                                                                                                |          3 |        789 |         14 |         57 |        860 |
| apps/web/components/dialog                                                                                                                                                 |          3 |        526 |          5 |         45 |        576 |
| apps/web/components/error                                                                                                                                                  |          1 |         64 |          1 |          9 |         74 |
| apps/web/components/eventtype                                                                                                                                              |         18 |      4,297 |         38 |        273 |      4,608 |
| apps/web/components/getting-started                                                                                                                                        |          9 |        620 |         20 |         69 |        709 |
| apps/web/components/getting-started/components                                                                                                                             |          4 |        147 |         12 |         16 |        175 |
| apps/web/components/getting-started/steps-views                                                                                                                            |          5 |        473 |          8 |         53 |        534 |
| apps/web/components/integrations                                                                                                                                           |          1 |         26 |          0 |          4 |         30 |
| apps/web/components/layouts                                                                                                                                                |          1 |          3 |          0 |          2 |          5 |
| apps/web/components/schemas                                                                                                                                                |          1 |         68 |          0 |          6 |         74 |
| apps/web/components/security                                                                                                                                               |          7 |        508 |         11 |         77 |        596 |
| apps/web/components/settings                                                                                                                                               |          3 |        407 |         11 |         54 |        472 |
| apps/web/components/setup                                                                                                                                                  |          4 |        417 |          1 |         32 |        450 |
| apps/web/components/team                                                                                                                                                   |          1 |         70 |          1 |         10 |         81 |
| apps/web/components/team/screens                                                                                                                                           |          1 |         70 |          1 |         10 |         81 |
| apps/web/components/ui                                                                                                                                                     |         14 |      1,092 |         26 |        120 |      1,238 |
| apps/web/components/ui (Files)                                                                                                                                             |          5 |        159 |          0 |         18 |        177 |
| apps/web/components/ui/UsernameAvailability                                                                                                                                |          3 |        539 |          9 |         48 |        596 |
| apps/web/components/ui/form                                                                                                                                                |          6 |        394 |         17 |         54 |        465 |
| apps/web/docs                                                                                                                                                              |          1 |         14 |          0 |         14 |         28 |
| apps/web/lib                                                                                                                                                               |         59 |      5,080 |        299 |        776 |      6,155 |
| apps/web/lib (Files)                                                                                                                                                       |         26 |      4,000 |        264 |        536 |      4,800 |
| apps/web/lib/apps                                                                                                                                                          |          6 |        211 |          2 |         51 |        264 |
| apps/web/lib/apps (Files)                                                                                                                                                  |          1 |         44 |          0 |          9 |         53 |
| apps/web/lib/apps/[slug]                                                                                                                                                   |          1 |         81 |          1 |         13 |         95 |
| apps/web/lib/apps/categories                                                                                                                                               |          2 |         52 |          0 |         16 |         68 |
| apps/web/lib/apps/categories (Files)                                                                                                                                       |          1 |         27 |          0 |          9 |         36 |
| apps/web/lib/apps/categories/[category]                                                                                                                                    |          1 |         25 |          0 |          7 |         32 |
| apps/web/lib/apps/installed                                                                                                                                                |          2 |         34 |          1 |         13 |         48 |
| apps/web/lib/apps/installed (Files)                                                                                                                                        |          1 |          3 |          0 |          1 |          4 |
| apps/web/lib/apps/installed/[category]                                                                                                                                     |          1 |         31 |          1 |         12 |         44 |
| apps/web/lib/config                                                                                                                                                        |          1 |         34 |          0 |          6 |         40 |
| apps/web/lib/core                                                                                                                                                          |          2 |         29 |          1 |          7 |         37 |
| apps/web/lib/core/http                                                                                                                                                     |          2 |         29 |          1 |          7 |         37 |
| apps/web/lib/core/http/error                                                                                                                                               |          2 |         29 |          1 |          7 |         37 |
| apps/web/lib/d                                                                                                                                                             |          1 |         88 |          6 |         19 |        113 |
| apps/web/lib/d/[link]                                                                                                                                                      |          1 |         88 |          6 |         19 |        113 |
| apps/web/lib/d/[link]/[slug]                                                                                                                                               |          1 |         88 |          6 |         19 |        113 |
| apps/web/lib/event-types                                                                                                                                                   |          1 |         16 |          0 |          6 |         22 |
| apps/web/lib/getting-started                                                                                                                                               |          1 |         49 |          0 |         11 |         60 |
| apps/web/lib/getting-started/[[...step]]                                                                                                                                   |          1 |         49 |          0 |         11 |         60 |
| apps/web/lib/hooks                                                                                                                                                         |          8 |        141 |          3 |         42 |        186 |
| apps/web/lib/insights                                                                                                                                                      |          1 |         11 |          1 |          4 |         16 |
| apps/web/lib/org                                                                                                                                                           |          2 |         76 |          0 |         10 |         86 |
| apps/web/lib/org/[orgSlug]                                                                                                                                                 |          2 |         76 |          0 |         10 |         86 |
| apps/web/lib/org/[orgSlug]/[user]                                                                                                                                          |          2 |         76 |          0 |         10 |         86 |
| apps/web/lib/org/[orgSlug]/[user] (Files)                                                                                                                                  |          1 |         23 |          0 |          3 |         26 |
| apps/web/lib/org/[orgSlug]/[user]/[type]                                                                                                                                   |          1 |         53 |          0 |          7 |         60 |
| apps/web/lib/settings                                                                                                                                                      |          1 |         17 |          1 |          5 |         23 |
| apps/web/lib/settings/organizations                                                                                                                                        |          1 |         17 |          1 |          5 |         23 |
| apps/web/lib/settings/organizations/new                                                                                                                                    |          1 |         17 |          1 |          5 |         23 |
| apps/web/lib/signup                                                                                                                                                        |          1 |        144 |          6 |         22 |        172 |
| apps/web/lib/team                                                                                                                                                          |          2 |        209 |          7 |         38 |        254 |
| apps/web/lib/team/[slug]                                                                                                                                                   |          2 |        209 |          7 |         38 |        254 |
| apps/web/lib/team/[slug] (Files)                                                                                                                                           |          1 |        125 |          2 |         25 |        152 |
| apps/web/lib/team/[slug]/[type]                                                                                                                                            |          1 |         84 |          5 |         13 |        102 |
| apps/web/lib/teams                                                                                                                                                         |          1 |         19 |          0 |          7 |         26 |
| apps/web/lib/types                                                                                                                                                         |          4 |         20 |          8 |          8 |         36 |
| apps/web/lib/workflows                                                                                                                                                     |          1 |         16 |          0 |          4 |         20 |
| apps/web/lib/workflows/[workflow]                                                                                                                                          |          1 |         16 |          0 |          4 |         20 |
| apps/web/modules                                                                                                                                                           |         19 |      4,028 |        101 |        397 |      4,526 |
| apps/web/modules/bookings                                                                                                                                                  |          5 |      1,279 |         32 |        107 |      1,418 |
| apps/web/modules/bookings/lib                                                                                                                                              |          1 |          1 |          0 |          1 |          2 |
| apps/web/modules/bookings/views                                                                                                                                            |          4 |      1,278 |         32 |        106 |      1,416 |
| apps/web/modules/event-types                                                                                                                                               |          3 |      1,606 |         37 |        145 |      1,788 |
| apps/web/modules/event-types/views                                                                                                                                         |          3 |      1,606 |         37 |        145 |      1,788 |
| apps/web/modules/users                                                                                                                                                     |          4 |        632 |         26 |         75 |        733 |
| apps/web/modules/users/views                                                                                                                                               |          4 |        632 |         26 |         75 |        733 |
| apps/web/modules/videos                                                                                                                                                    |          7 |        511 |          6 |         70 |        587 |
| apps/web/modules/videos/views                                                                                                                                              |          7 |        511 |          6 |         70 |        587 |
| apps/web/pages                                                                                                                                                             |        218 |     11,599 |        289 |      1,899 |     13,787 |
| apps/web/pages (Files)                                                                                                                                                     |         11 |      1,213 |         63 |        130 |      1,406 |
| apps/web/pages/[user]                                                                                                                                                      |          4 |         44 |          0 |         28 |         72 |
| apps/web/pages/[user] (Files)                                                                                                                                              |          2 |         22 |          0 |         14 |         36 |
| apps/web/pages/[user]/[type]                                                                                                                                               |          2 |         22 |          0 |         14 |         36 |
| apps/web/pages/api                                                                                                                                                         |         89 |      3,257 |        109 |        694 |      4,060 |
| apps/web/pages/api (Files)                                                                                                                                                 |         12 |        664 |         19 |        118 |        801 |
| apps/web/pages/api/_README                                                                                                                                                 |          1 |          4 |          0 |          4 |          8 |
| apps/web/pages/api/auth                                                                                                                                                    |         18 |        760 |         38 |        195 |        993 |
| apps/web/pages/api/auth (Files)                                                                                                                                            |          8 |        349 |         25 |         82 |        456 |
| apps/web/pages/api/auth/oauth                                                                                                                                              |          3 |        144 |          1 |         38 |        183 |
| apps/web/pages/api/auth/saml                                                                                                                                               |          4 |         66 |          1 |         25 |         92 |
| apps/web/pages/api/auth/two-factor                                                                                                                                         |          3 |        201 |         11 |         50 |        262 |
| apps/web/pages/api/auth/two-factor/totp                                                                                                                                    |          3 |        201 |         11 |         50 |        262 |
| apps/web/pages/api/availability                                                                                                                                            |          1 |         87 |          3 |         11 |        101 |
| apps/web/pages/api/avatar                                                                                                                                                  |          1 |         50 |          1 |         12 |         63 |
| apps/web/pages/api/book                                                                                                                                                    |          3 |         56 |          3 |         20 |         79 |
| apps/web/pages/api/cron                                                                                                                                                    |          9 |        544 |         15 |         76 |        635 |
| apps/web/pages/api/cron (Files)                                                                                                                                            |          6 |        541 |         15 |         73 |        629 |
| apps/web/pages/api/cron/workflows                                                                                                                                          |          3 |          3 |          0 |          3 |          6 |
| apps/web/pages/api/integrations                                                                                                                                            |          5 |        175 |          6 |         33 |        214 |
| apps/web/pages/api/integrations (Files)                                                                                                                                    |          1 |         78 |          2 |         11 |         91 |
| apps/web/pages/api/integrations/alby                                                                                                                                       |          1 |          1 |          0 |          1 |          2 |
| apps/web/pages/api/integrations/paypal                                                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| apps/web/pages/api/integrations/stripepayment                                                                                                                              |          1 |          1 |          0 |          1 |          2 |
| apps/web/pages/api/integrations/subscriptions                                                                                                                              |          1 |         94 |          4 |         19 |        117 |
| apps/web/pages/api/orgMigration                                                                                                                                            |          4 |        229 |          0 |         48 |        277 |
| apps/web/pages/api/organizations                                                                                                                                           |          1 |          1 |          0 |          1 |          2 |
| apps/web/pages/api/organizations/[org]                                                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| apps/web/pages/api/social                                                                                                                                                  |          1 |        103 |          0 |         19 |        122 |
| apps/web/pages/api/social/og                                                                                                                                               |          1 |        103 |          0 |         19 |        122 |
| apps/web/pages/api/sync                                                                                                                                                    |          1 |         69 |          4 |         15 |         88 |
| apps/web/pages/api/sync/helpscout                                                                                                                                          |          1 |         69 |          4 |         15 |         88 |
| apps/web/pages/api/teams                                                                                                                                                   |          5 |        241 |          6 |         61 |        308 |
| apps/web/pages/api/teams (Files)                                                                                                                                           |          1 |         72 |          4 |         17 |         93 |
| apps/web/pages/api/teams/[team]                                                                                                                                            |          1 |          1 |          0 |          1 |          2 |
| apps/web/pages/api/teams/api                                                                                                                                               |          1 |         91 |          0 |         21 |        112 |
| apps/web/pages/api/teams/googleworkspace                                                                                                                                   |          2 |         77 |          2 |         22 |        101 |
| apps/web/pages/api/trpc                                                                                                                                                    |         25 |         75 |          0 |         50 |        125 |
| apps/web/pages/api/trpc/admin                                                                                                                                              |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/apiKeys                                                                                                                                            |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/appBasecamp3                                                                                                                                       |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/appRoutingForms                                                                                                                                    |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/apps                                                                                                                                               |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/appsRouter                                                                                                                                         |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/auth                                                                                                                                               |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/availability                                                                                                                                       |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/bookings                                                                                                                                           |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/deploymentSetup                                                                                                                                    |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/eventTypes                                                                                                                                         |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/features                                                                                                                                           |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/googleWorkspace                                                                                                                                    |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/insights                                                                                                                                           |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/oAuth                                                                                                                                              |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/organizations                                                                                                                                      |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/payments                                                                                                                                           |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/public                                                                                                                                             |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/saml                                                                                                                                               |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/slots                                                                                                                                              |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/teams                                                                                                                                              |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/users                                                                                                                                              |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/viewer                                                                                                                                             |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/webhook                                                                                                                                            |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/trpc/workflows                                                                                                                                          |          1 |          3 |          0 |          2 |          5 |
| apps/web/pages/api/user                                                                                                                                                    |          1 |        128 |         10 |         17 |        155 |
| apps/web/pages/api/webhook                                                                                                                                                 |          1 |         71 |          4 |         14 |         89 |
| apps/web/pages/apps                                                                                                                                                        |          8 |        655 |         19 |        101 |        775 |
| apps/web/pages/apps (Files)                                                                                                                                                |          1 |        106 |          0 |         11 |        117 |
| apps/web/pages/apps/[slug]                                                                                                                                                 |          3 |        267 |         16 |         48 |        331 |
| apps/web/pages/apps/categories                                                                                                                                             |          2 |        124 |          1 |         21 |        146 |
| apps/web/pages/apps/installed                                                                                                                                              |          2 |        158 |          2 |         21 |        181 |
| apps/web/pages/auth                                                                                                                                                        |         15 |      1,384 |         30 |        200 |      1,614 |
| apps/web/pages/auth (Files)                                                                                                                                                |          9 |        761 |         22 |        108 |        891 |
| apps/web/pages/auth/forgot-password                                                                                                                                        |          2 |        262 |          1 |         34 |        297 |
| apps/web/pages/auth/oauth2                                                                                                                                                 |          1 |        161 |          1 |         19 |        181 |
| apps/web/pages/auth/setup                                                                                                                                                  |          1 |        140 |          0 |         13 |        153 |
| apps/web/pages/auth/sso                                                                                                                                                    |          2 |         60 |          6 |         26 |         92 |
| apps/web/pages/availability                                                                                                                                                |          3 |        610 |          5 |         37 |        652 |
| apps/web/pages/booking                                                                                                                                                     |          2 |          6 |          0 |          5 |         11 |
| apps/web/pages/booking/[uid]                                                                                                                                               |          2 |          6 |          0 |          5 |         11 |
| apps/web/pages/bookings                                                                                                                                                    |          1 |         20 |          0 |          8 |         28 |
| apps/web/pages/d                                                                                                                                                           |          1 |         44 |          0 |          7 |         51 |
| apps/web/pages/d/[link]                                                                                                                                                    |          1 |         44 |          0 |          7 |         51 |
| apps/web/pages/enterprise                                                                                                                                                  |          1 |         12 |          0 |          6 |         18 |
| apps/web/pages/event-types                                                                                                                                                 |          2 |         18 |          0 |         10 |         28 |
| apps/web/pages/event-types (Files)                                                                                                                                         |          1 |          5 |          0 |          5 |         10 |
| apps/web/pages/event-types/[type]                                                                                                                                          |          1 |         13 |          0 |          5 |         18 |
| apps/web/pages/getting-started                                                                                                                                             |          1 |        150 |         11 |         23 |        184 |
| apps/web/pages/insights                                                                                                                                                    |          1 |        101 |          0 |         13 |        114 |
| apps/web/pages/org                                                                                                                                                         |          9 |        152 |          0 |         48 |        200 |
| apps/web/pages/org/[orgSlug]                                                                                                                                               |          9 |        152 |          0 |         48 |        200 |
| apps/web/pages/org/[orgSlug] (Files)                                                                                                                                       |          2 |          5 |          0 |          5 |         10 |
| apps/web/pages/org/[orgSlug]/[user]                                                                                                                                        |          4 |         38 |          0 |         26 |         64 |
| apps/web/pages/org/[orgSlug]/[user] (Files)                                                                                                                                |          2 |         19 |          0 |         13 |         32 |
| apps/web/pages/org/[orgSlug]/[user]/[type]                                                                                                                                 |          2 |         19 |          0 |         13 |         32 |
| apps/web/pages/org/[orgSlug]/instant-meeting                                                                                                                               |          1 |        107 |          0 |         15 |        122 |
| apps/web/pages/org/[orgSlug]/instant-meeting/team                                                                                                                          |          1 |        107 |          0 |         15 |        122 |
| apps/web/pages/org/[orgSlug]/instant-meeting/team/[slug]                                                                                                                   |          1 |        107 |          0 |         15 |        122 |
| apps/web/pages/org/[orgSlug]/team                                                                                                                                          |          2 |          2 |          0 |          2 |          4 |
| apps/web/pages/org/[orgSlug]/team/[slug]                                                                                                                                   |          2 |          2 |          0 |          2 |          4 |
| apps/web/pages/payment                                                                                                                                                     |          1 |          9 |          0 |          3 |         12 |
| apps/web/pages/reschedule                                                                                                                                                  |          2 |        130 |          6 |         22 |        158 |
| apps/web/pages/reschedule (Files)                                                                                                                                          |          1 |        125 |          6 |         17 |        148 |
| apps/web/pages/reschedule/[uid]                                                                                                                                            |          1 |          5 |          0 |          5 |         10 |
| apps/web/pages/routing-forms                                                                                                                                               |          2 |         32 |          0 |          7 |         39 |
| apps/web/pages/settings                                                                                                                                                    |         54 |      3,360 |         35 |        478 |      3,873 |
| apps/web/pages/settings/admin                                                                                                                                              |         17 |        921 |          7 |        113 |      1,041 |
| apps/web/pages/settings/admin (Files)                                                                                                                                      |          3 |         64 |          0 |         20 |         84 |
